id,title,budget,genres,cast,revenue
24,Mock Movie 24,65846330.29983936,"[{""id"": 93, ""name"": ""Thriller""}, {""id"": 98, ""name"": ""Romance""}, {""id"": 10, ""name"": ""Drama""}, {""id"": 23, ""name"": ""Adventure""}]","[{""name"": ""Actor 57"", ""character"": ""Character 18""}, {""name"": ""Actor 46"", ""character"": ""Character 60""}, {""name"": ""Actor 133"", ""character"": ""Character 86""}, {""name"": ""Actor 119"", ""character"": ""Character 68""}, {""name"": ""Actor 13"", ""character"": ""Character 72""}, {""name"": ""Actor 143"", ""character"": ""Character 77""}, {""name"": ""Actor 64"", ""character"": ""Character 41""}, {""name"": ""Actor 32"", ""character"": ""Character 97""}, {""name"": ""Actor 117"", ""character"": ""Character 57""}]",107742474.16263682
25,Mock Movie 25,45997889.841648966,"[{""id"": 70, ""name"": ""Fantasy""}, {""id"": 67, ""name"": ""Thriller""}, {""id"": 43, ""name"": ""Comedy""}, {""id"": 41, ""name"": ""Horror""}]","[{""name"": ""Actor 134"", ""character"": ""Character 31""}, {""name"": ""Actor 125"", ""character"": ""Character 35""}, {""name"": ""Actor 62"", ""character"": ""Character 43""}, {""name"": ""Actor 71"", ""character"": ""Character 41""}, {""name"": ""Actor 113"", ""character"": ""Character 70""}, {""name"": ""Actor 20"", ""character"": ""Character 11""}, {""name"": ""Actor 74"", ""character"": ""Character 18""}]",89453700.65232493
26,Mock Movie 26,35952310.11641158,"[{""id"": 63, ""name"": ""Drama""}, {""id"": 62, ""name"": ""Adventure""}]","[{""name"": ""Actor 139"", ""character"": ""Character 98""}, {""name"": ""Actor 120"", ""character"": ""Character 74""}, {""name"": ""Actor 107"", ""character"": ""Character 49""}, {""name"": ""Actor 16"", ""character"": ""Character 62""}, {""name"": ""Actor 53"", ""character"": ""Character 1""}, {""name"": ""Actor 108"", ""character"": ""Character 46""}, {""name"": ""Actor 100"", ""character"": ""Character 39""}, {""name"": ""Actor 6"", ""character"": ""Character 97""}]",103433850.6886421
27,Mock Movie 27,29461370.65437489,"[{""id"": 38, ""name"": ""Fantasy""}, {""id"": 44, ""name"": ""Animation""}, {""id"": 65, ""name"": ""Drama""}, {""id"": 72, ""name"": ""Thriller""}]","[{""name"": ""Actor 100"", ""character"": ""Character 93""}, {""name"": ""Actor 87"", ""character"": ""Character 22""}, {""name"": ""Actor 104"", ""character"": ""Character 60""}]",65732039.51207655
28,Mock Movie 28,23877643.016407438,"[{""id"": 85, ""name"": ""Romance""}]","[{""name"": ""Actor 22"", ""character"": ""Character 60""}, {""name"": ""Actor 110"", ""character"": ""Character 24""}, {""name"": ""Actor 35"", ""character"": ""Character 7""}]",54143776.56624692
29,Mock Movie 29,76999277.91766205,"[{""id"": 63, ""name"": ""Horror""}, {""id"": 42, ""name"": ""Animation""}, {""id"": 20, ""name"": ""Romance""}, {""id"": 70, ""name"": ""Comedy""}]","[{""name"": ""Actor 139"", ""character"": ""Character 29""}, {""name"": ""Actor 14"", ""character"": ""Character 84""}, {""name"": ""Actor 90"", ""character"": ""Character 9""}]",258890446.1142894
30,Mock Movie 30,51342938.92881782,"[{""id"": 35, ""name"": ""Drama""}]","[{""name"": ""Actor 40"", ""character"": ""Character 61""}, {""name"": ""Actor 62"", ""character"": ""Character 86""}, {""name"": ""Actor 33"", ""character"": ""Character 15""}]",76156593.4676886
31,Mock Movie 31,26522120.18542892,"[{""id"": 30, ""name"": ""Horror""}, {""id"": 49, ""name"": ""Comedy""}, {""id"": 23, ""name"": ""Adventure""}]","[{""name"": ""Actor 80"", ""character"": ""Character 51""}, {""name"": ""Actor 148"", ""character"": ""Character 92""}, {""name"": ""Actor 97"", ""character"": ""Character 26""}]",131289013.20191973
32,Mock Movie 32,16307729.989291444,"[{""id"": 97, ""name"": ""Adventure""}, {""id"": 86, ""name"": ""Science Fiction""}]","[{""name"": ""Actor 145"", ""character"": ""Character 55""}, {""name"": ""Actor 11"", ""character"": ""Character 85""}, {""name"": ""Actor 89"", ""character"": ""Character 48""}, {""name"": ""Actor 137"", ""character"": ""Character 9""}]",28065343.12287507
33,Mock Movie 33,61408670.10943037,"[{""id"": 91, ""name"": ""Thriller""}, {""id"": 68, ""name"": ""Adventure""}, {""id"": 100, ""name"": ""Romance""}, {""id"": 29, ""name"": ""Comedy""}]","[{""name"": ""Actor 46"", ""character"": ""Character 32""}, {""name"": ""Actor 134"", ""character"": ""Character 12""}, {""name"": ""Actor 70"", ""character"": ""Character 36""}, {""name"": ""Actor 138"", ""character"": ""Character 58""}, {""name"": ""Actor 124"", ""character"": ""Character 32""}, {""name"": ""Actor 120"", ""character"": ""Character 97""}, {""name"": ""Actor 112"", ""character"": ""Character 60""}, {""name"": ""Actor 69"", ""character"": ""Character 73""}, {""name"": ""Actor 83"", ""character"": ""Character 79""}]",263980731.14971796
34,Mock Movie 34,76084983.28735828,"[{""id"": 55, ""name"": ""Horror""}, {""id"": 43, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 45, ""name"": ""Adventure""}]","[{""name"": ""Actor 143"", ""character"": ""Character 63""}, {""name"": ""Actor 3"", ""character"": ""Character 72""}, {""name"": ""Actor 133"", ""character"": ""Character 98""}, {""name"": ""Actor 49"", ""character"": ""Character 31""}, {""name"": ""Actor 22"", ""character"": ""Character 89""}, {""name"": ""Actor 62"", ""character"": ""Character 61""}, {""name"": ""Actor 105"", ""character"": ""Character 83""}]",321902425.73657954
35,Mock Movie 35,72594804.16906695,"[{""id"": 47, ""name"": ""Adventure""}]","[{""name"": ""Actor 104"", ""character"": ""Character 71""}, {""name"": ""Actor 63"", ""character"": ""Character 68""}, {""name"": ""Actor 79"", ""character"": ""Character 45""}, {""name"": ""Actor 149"", ""character"": ""Character 55""}, {""name"": ""Actor 95"", ""character"": ""Character 96""}, {""name"": ""Actor 122"", ""character"": ""Character 71""}]",107539741.57401195
36,Mock Movie 36,10627386.68720765,"[{""id"": 25, ""name"": ""Science Fiction""}, {""id"": 34, ""name"": ""Animation""}, {""id"": 50, ""name"": ""Drama""}]","[{""name"": ""Actor 138"", ""character"": ""Character 95""}, {""name"": ""Actor 48"", ""character"": ""Character 62""}, {""name"": ""Actor 50"", ""character"": ""Character 36""}, {""name"": ""Actor 56"", ""character"": ""Character 93""}]",51859447.35929991
37,Mock Movie 37,29177566.84520749,"[{""id"": 39, ""name"": ""Adventure""}, {""id"": 56, ""name"": ""Drama""}, {""id"": 32, ""name"": ""Science Fiction""}]","[{""name"": ""Actor 4"", ""character"": ""Character 38""}, {""name"": ""Actor 137"", ""character"": ""Character 90""}, {""name"": ""Actor 33"", ""character"": ""Character 17""}, {""name"": ""Actor 71"", ""character"": ""Character 82""}, {""name"": ""Actor 12"", ""character"": ""Character 97""}, {""name"": ""Actor 14"", ""character"": ""Character 63""}, {""name"": ""Actor 142"", ""character"": ""Character 14""}]",124545403.49390826
38,Mock Movie 38,23228901.675414853,"[{""id"": 16, ""name"": ""Thriller""}, {""id"": 42, ""name"": ""Animation""}, {""id"": 71, ""name"": ""Horror""}, {""id"": 24, ""name"": ""Adventure""}]","[{""name"": ""Actor 103"", ""character"": ""Character 81""}, {""name"": ""Actor 126"", ""character"": ""Character 88""}, {""name"": ""Actor 19"", ""character"": ""Character 7""}, {""name"": ""Actor 148"", ""character"": ""Character 20""}]",57647927.71895562
39,Mock Movie 39,33501935.8167664,"[{""id"": 81, ""name"": ""Adventure""}, {""id"": 63, ""name"": ""Drama""}, {""id"": 87, ""name"": ""Animation""}]","[{""name"": ""Actor 134"", ""character"": ""Character 40""}, {""name"": ""Actor 98"", ""character"": ""Character 73""}, {""name"": ""Actor 116"", ""character"": ""Character 80""}, {""name"": ""Actor 114"", ""character"": ""Character 8""}, {""name"": ""Actor 77"", ""character"": ""Character 79""}, {""name"": ""Actor 110"", ""character"": ""Character 95""}]",81600551.95636693
40,Mock Movie 40,68438403.78379694,"[{""id"": 30, ""name"": ""Science Fiction""}, {""id"": 40, ""name"": ""Adventure""}]","[{""name"": ""Actor 142"", ""character"": ""Character 58""}, {""name"": ""Actor 20"", ""character"": ""Character 89""}, {""name"": ""Actor 41"", ""character"": ""Character 77""}, {""name"": ""Actor 1"", ""character"": ""Character 61""}, {""name"": ""Actor 105"", ""character"": ""Character 38""}]",867697743.307538
41,Mock Movie 41,87468400.99997881,"[{""id"": 43, ""name"": ""Thriller""}, {""id"": 90, ""name"": ""Adventure""}, {""id"": 85, ""name"": ""Drama""}]","[{""name"": ""Actor 109"", ""character"": ""Character 19""}, {""name"": ""Actor 30"", ""character"": ""Character 10""}, {""name"": ""Actor 140"", ""character"": ""Character 8""}, {""name"": ""Actor 58"", ""character"": ""Character 22""}, {""name"": ""Actor 39"", ""character"": ""Character 40""}, {""name"": ""Actor 69"", ""character"": ""Character 77""}]",261916842.04248795
42,Mock Movie 42,52657260.876667194,"[{""id"": 98, ""name"": ""Thriller""}, {""id"": 48, ""name"": ""Adventure""}, {""id"": 99, ""name"": ""Animation""}]","[{""name"": ""Actor 70"", ""character"": ""Character 78""}, {""name"": ""Actor 129"", ""character"": ""Character 33""}, {""name"": ""Actor 139"", ""character"": ""Character 4""}, {""name"": ""Actor 127"", ""character"": ""Character 12""}, {""name"": ""Actor 113"", ""character"": ""Character 30""}, {""name"": ""Actor 21"", ""character"": ""Character 87""}, {""name"": ""Actor 11"", ""character"": ""Character 74""}, {""name"": ""Actor 111"", ""character"": ""Character 76""}, {""name"": ""Actor 83"", ""character"": ""Character 3""}]",220685694.8888014
43,Mock Movie 43,17420808.58882065,"[{""id"": 70, ""name"": ""Animation""}, {""id"": 76, ""name"": ""Action""}, {""id"": 93, ""name"": ""Comedy""}]","[{""name"": ""Actor 72"", ""character"": ""Character 86""}, {""name"": ""Actor 47"", ""character"": ""Character 14""}, {""name"": ""Actor 112"", ""character"": ""Character 21""}, {""name"": ""Actor 126"", ""character"": ""Character 43""}, {""name"": ""Actor 24"", ""character"": ""Character 53""}, {""name"": ""Actor 121"", ""character"": ""Character 89""}, {""name"": ""Actor 90"", ""character"": ""Character 64""}, {""name"": ""Actor 105"", ""character"": ""Character 37""}, {""name"": ""Actor 86"", ""character"": ""Character 85""}, {""name"": ""Actor 83"", ""character"": ""Character 52""}]",66771404.572681
44,Mock Movie 44,38746088.6311517,"[{""id"": 24, ""name"": ""Adventure""}, {""id"": 61, ""name"": ""Horror""}, {""id"": 75, ""name"": ""Science Fiction""}, {""id"": 10, ""name"": ""Comedy""}]","[{""name"": ""Actor 106"", ""character"": ""Character 17""}, {""name"": ""Actor 14"", ""character"": ""Character 37""}, {""name"": ""Actor 49"", ""character"": ""Character 57""}, {""name"": ""Actor 133"", ""character"": ""Character 90""}, {""name"": ""Actor 93"", ""character"": ""Character 63""}, {""name"": ""Actor 128"", ""character"": ""Character 16""}, {""name"": ""Actor 114"", ""character"": ""Character 4""}, {""name"": ""Actor 53"", ""character"": ""Character 81""}, {""name"": ""Actor 69"", ""character"": ""Character 78""}, {""name"": ""Actor 141"", ""character"": ""Character 31""}]",142832990.31601816
45,Mock Movie 45,94762527.95349023,"[{""id"": 62, ""name"": ""Fantasy""}]","[{""name"": ""Actor 58"", ""character"": ""Character 83""}, {""name"": ""Actor 30"", ""character"": ""Character 20""}, {""name"": ""Actor 119"", ""character"": ""Character 64""}, {""name"": ""Actor 31"", ""character"": ""Character 92""}]",267671530.81735808
46,Mock Movie 46,43046647.388335995,"[{""id"": 80, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Animation""}, {""id"": 59, ""name"": ""Drama""}, {""id"": 34, ""name"": ""Fantasy""}]","[{""name"": ""Actor 18"", ""character"": ""Character 35""}, {""name"": ""Actor 71"", ""character"": ""Character 1""}, {""name"": ""Actor 107"", ""character"": ""Character 37""}, {""name"": ""Actor 88"", ""character"": ""Character 93""}, {""name"": ""Actor 130"", ""character"": ""Character 39""}]",107382131.6777036
47,Mock Movie 47,29534742.73369464,"[{""id"": 52, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Thriller""}, {""id"": 79, ""name"": ""Fantasy""}, {""id"": 58, ""name"": ""Animation""}]","[{""name"": ""Actor 83"", ""character"": ""Character 91""}, {""name"": ""Actor 49"", ""character"": ""Character 49""}, {""name"": ""Actor 62"", ""character"": ""Character 50""}, {""name"": ""Actor 147"", ""character"": ""Character 85""}, {""name"": ""Actor 99"", ""character"": ""Character 84""}, {""name"": ""Actor 60"", ""character"": ""Character 20""}, {""name"": ""Actor 106"", ""character"": ""Character 64""}, {""name"": ""Actor 12"", ""character"": ""Character 5""}, {""name"": ""Actor 82"", ""character"": ""Character 17""}, {""name"": ""Actor 122"", ""character"": ""Character 65""}]",95473082.75050074
48,Mock Movie 48,32311483.925687082,"[{""id"": 22, ""name"": ""Thriller""}]","[{""name"": ""Actor 4"", ""character"": ""Character 43""}, {""name"": ""Actor 37"", ""character"": ""Character 87""}, {""name"": ""Actor 105"", ""character"": ""Character 69""}, {""name"": ""Actor 40"", ""character"": ""Character 49""}, {""name"": ""Actor 20"", ""character"": ""Character 41""}, {""name"": ""Actor 121"", ""character"": ""Character 81""}, {""name"": ""Actor 68"", ""character"": ""Character 92""}, {""name"": ""Actor 87"", ""character"": ""Character 98""}, {""name"": ""Actor 102"", ""character"": ""Character 63""}, {""name"": ""Actor 21"", ""character"": ""Character 70""}]",230983094.3583842
49,Mock Movie 49,52498940.00291112,"[{""id"": 22, ""name"": ""Drama""}, {""id"": 91, ""name"": ""Adventure""}, {""id"": 100, ""name"": ""Romance""}]","[{""name"": ""Actor 114"", ""character"": ""Character 6""}, {""name"": ""Actor 43"", ""character"": ""Character 42""}, {""name"": ""Actor 77"", ""character"": ""Character 8""}, {""name"": ""Actor 8"", ""character"": ""Character 38""}]",218978030.79149473
50,Mock Movie 50,11702723.898738433,"[{""id"": 82, ""name"": ""Fantasy""}, {""id"": 97, ""name"": ""Romance""}]","[{""name"": ""Actor 44"", ""character"": ""Character 64""}, {""name"": ""Actor 45"", ""character"": ""Character 75""}, {""name"": ""Actor 21"", ""character"": ""Character 19""}, {""name"": ""Actor 98"", ""character"": ""Character 30""}, {""name"": ""Actor 62"", ""character"": ""Character 60""}]",55387249.43023381
51,Mock Movie 51,22438503.47454122,"[{""id"": 46, ""name"": ""Thriller""}]","[{""name"": ""Actor 19"", ""character"": ""Character 89""}, {""name"": ""Actor 114"", ""character"": ""Character 33""}, {""name"": ""Actor 89"", ""character"": ""Character 59""}, {""name"": ""Actor 77"", ""character"": ""Character 39""}, {""name"": ""Actor 109"", ""character"": ""Character 26""}]",98075499.90677778
